NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch
NaI0,0,8,1,94.29,-16.95,-17.75,-1.84,1006,0.0977,-353.01,3.01457,16,4,8,84
NaI1,1,8,1,94.34,-24.14,-4.16,-1.86,1012,0.0977,-223.645,2.91004,10,1,6,1
NaI2,2,8,1,94.3,-22.11,10.89,-1.85,1009,0.0977,-215.119,2.91942,10,2,6,2
NaI3,3,8,1,94.32,-11.19,21.59,-1.84,1009,0.0977,-320.942,2.831,10,3,6,3
NaI4,4,8,1,94.25,3.36,24.35,-1.83,1009,0.0977,-290.707,2.89,10,4,6,4
NaI5,5,8,1,94.4,17.03,17.52,-1.88,1007,0.0977,-243.921,2.942,10,5,6,5
NaI6,6,8,2,94.39,24.14,4.34,-1.88,1009,0.0977,-336.652,3.018,10,6,6,6
NaI7,7,8,2,94.43,21.99,-10.69,-1.89,1011,0.0977,-310.893,2.867,10,7,6,7
NaI8,8,8,2,94.25,11.54,-21.64,-1.82,1007,0.0977,-284.524,2.743,10,8,6,8
NaI9,9,8,2,94.35,-3.38,-24.32,-1.87,1008,0.0977,-221.69,2.952,10,9,6,9
NaI10,10,8,2,82.99,-10.9,-21.94,3.01,1011,0.0977,-319.535,3.016,10,10,6,10
NaI11,11,8,2,82.9,-21.65,-11.25,3.04,1008,0.0977,-298.423,2.926,10,11,6,11
NaI12,12,8,3,82.84,-24.17,3.49,3.07,1009,0.0977,-248.087,2.676,10,12,6,12
NaI13,13,8,3,82.79,-17.63,16.93,3.09,1012,0.0977,-323.052,2.894,10,13,6,13
NaI14,14,8,3,82.85,-4.12,24.07,3.06,1008,0.0977,-350.676,2.883,10,14,6,14
NaI15,15,8,3,82.78,10.96,21.93,3.1,1007,0.0977,-266.909,2.804,10,15,6,15
NaI16,16,8,3,82.89,21.76,11.4,3.06,1007,0.0977,-271.119,2.959,10,16,6,16
NaI17,17,8,3,82.92,24.2,-3.56,3.04,1007,0.0977,-228.017,2.763,10,17,6,17
NaI18,18,8,3,82.82,17.41,-17.05,3.07,1007,0.0977,-238.345,2.833,10,18,6,18
NaI19,19,8,3,82.74,4.24,-24.07,3.11,1009,0.0977,-316.718,2.864,10,19,6,19
NaI20,20,8,4,71.72,-17.14,-17.15,8.01,1007,0.0977,-250.558,2.74,10,20,6,20
NaI21,21,8,4,71.83,-24.08,-3.85,8,1007,0.0977,-307.694,2.786,10,21,6,21
NaI22,22,8,4,71.92,-21.69,11.14,7.96,1010,0.0977,-366.906,2.934,10,22,6,22
NaI23,23,8,4,71.8,-10.92,21.7,7.99,1007,0.0977,-248.926,2.804,10,23,6,23
NaI24,24,8,4,71.85,3.96,24,7.98,1008,0.0977,-300.615,2.823,10,24,6,24
NaI25,25,8,4,71.87,17.24,17.12,7.95,1010,0.0977,-320.108,2.895,10,25,6,25
NaI26,26,8,4,71.84,24.05,3.68,7.98,1008,0.0977,-298.559,2.91,10,26,6,26
NaI27,27,8,4,71.81,21.66,-11.11,8,1009,0.0977,-243.022,2.834,10,27,6,27
NaI28,28,8,4,71.74,11.01,-21.63,8.01,1009,0.0977,-280.999,2.973,10,28,6,28
NaI29,29,8,4,71.91,-3.84,-24.08,7.96,1008,0.0977,-278.614,2.764,10,29,6,29
NaI30,30,8,5,61.94,-11.48,-21.31,12.9,1009,0.0977,-337.121,2.89,10,30,6,30
NaI31,31,8,5,61.88,-21.82,-10.63,12.97,1012,0.0977,-360.782,3.202,10,31,6,31
NaI32,32,8,5,61.95,-23.88,4.42,12.94,1006,0.0977,-301.816,3.059,11,0,6,32
NaI33,33,8,5,61.99,-16.95,17.46,12.94,1006,0.0977,-292.372,2.98,11,1,6,33
NaI34,34,8,5,62.06,-3.25,24.14,12.92,1005,0.0977,-381.581,3.007,11,2,6,34
NaI35,35,8,5,61.93,11.38,21.47,12.96,1005,0.0977,-344.752,3.024,11,3,6,35
NaI36,36,8,5,62.03,21.82,10.69,12.9,1005,0.0977,-306.279,3.056,11,4,6,36
NaI37,37,8,5,61.95,23.94,-4.24,12.95,1008,0.0977,-368.415,3.215,11,5,6,37
NaI38,38,8,5,62.15,17.04,-17.53,12.91,1007,0.0977,-403.704,3.192,11,6,6,38
NaI39,39,8,5,61.88,3.31,-23.97,12.93,1007,0.0977,-351.25,2.946,11,7,6,39
NaI40,40,8,6,58.31,-16.18,-24.21,17.98,1000,0.0977,-382.166,3.043,11,8,6,40
NaI41,41,8,6,58.09,-25.8,-13.64,18.17,1007,0.0977,-348.815,4.19288,11,9,6,41
NaI42,42,8,6,58.27,-29.25,0.8,18.09,1008,0.0977,-311.409,3.014,11,10,6,42
NaI43,43,8,6,58.46,-24.62,15.82,17.96,1008,0.0977,-346.735,3.071,11,11,6,43
NaI44,44,8,6,58.42,-12.67,26.29,17.94,1009,0.0977,-381.108,3.028,11,12,6,44
NaI45,45,8,6,58.48,2.56,29.03,17.88,1008,0.0977,-375.224,3.066,11,13,6,45
NaI46,46,8,6,58.2,16.13,24.27,18.06,1009,0.0977,-405.323,3.09,11,14,6,46
NaI47,47,8,6,58.26,25.86,13.76,18.11,1010,0.0977,-292.393,2.935,11,15,6,47
NaI48,48,8,6,58.35,29.38,-0.59,18.12,1008,0.0977,-420.793,2.994,11,16,6,48
NaI49,49,8,6,58.56,24.75,-15.85,17.97,1003,0.0977,-324.873,2.797,11,17,6,49
NaI50,50,8,6,58.44,12.53,-26.24,17.86,1004,0.0977,-318.14,2.991,11,18,6,50
NaI51,51,8,6,58.2,-2.9,-28.78,17.94,1003,0.0977,-361.859,2.896,11,19,6,51
NaI52,52,8,7,54.64,-14.76,-29.03,23.11,1004,0.0977,-358.406,2.958,11,20,6,52
NaI53,53,8,7,54.99,-26.51,-19.34,22.99,1003,0.0977,-366.098,2.964,11,21,6,53
NaI54,54,8,7,54.62,-31.92,-4.67,22.91,1003,0.0977,-375.712,3.013,11,22,6,54
NaI55,55,8,7,54.34,-30.65,9.78,23.08,1003,0.0977,-329.422,2.793,11,23,6,55
NaI56,56,8,7,54.37,-23.67,21.88,23.11,1003,0.0977,-310.571,2.919,11,24,6,56
NaI57,57,8,7,54.3,-11.94,29.88,23.13,1003,0.0977,-396.657,2.943,11,25,6,57
NaI58,58,8,7,54.16,1.72,31.97,23.13,1003,0.0977,-395.858,3.085,11,26,6,58
NaI59,59,8,7,54.76,14.82,29.14,23.1,1003,0.0977,-394.885,2.96,11,27,6,59
NaI60,60,8,7,55.05,26.41,19.44,22.92,1005,0.0977,-330.687,2.898,11,28,6,60
NaI61,61,8,7,54.58,31.85,4.63,22.9,1004,0.0977,-361.345,2.859,11,29,6,61
NaI62,62,8,7,54.33,30.49,-10.02,23.03,996,0.0977,-242.795,2.666,16,1,8,81
NaI63,63,8,7,54.46,23.78,-21.93,23.11,1008,0.0977,-458.774,3.243,11,31,6,63
NaI64,64,8,7,54.56,11.85,-30.05,22.99,1001,0.0977,-228.404,2.836,12,0,6,64
NaI65,65,8,7,54.3,-1.53,-32.17,23.14,1007,0.0977,-318.779,3.188,12,1,6,65
NaI66,66,8,8,49.44,-19.15,-26.86,28.23,1003,0.0977,-271.956,2.919,12,2,6,66
NaI67,67,8,8,49.71,-29.04,-16.16,28.17,1000,0.0977,-236.138,2.941,12,3,6,67
NaI68,68,8,8,49.74,-33.22,-1.65,28.17,1003,0.0977,-338.617,2.816,12,4,6,68
NaI69,69,8,8,49.56,-30.18,13.37,28.14,1001,0.0977,-267.487,2.814,12,5,6,69
NaI70,70,8,8,49.48,-21.69,24.88,28.22,1001,0.0977,-265.09,2.783,12,6,6,70
NaI71,71,8,8,49.47,-8.78,31.8,28.2,1002,0.0977,-283.504,2.925,12,7,6,71
NaI72,72,8,8,49.49,6.02,32.41,28.16,995,0.0977,-269.475,2.847,16,2,8,82
NaI73,73,8,8,49.56,19.12,26.98,28.19,995,0.0977,-237.754,2.865,16,3,8,83
NaI74,74,8,8,49.68,29.14,15.9,28.17,1003,0.0977,-229.456,2.839,12,10,6,74
NaI75,75,8,8,49.76,33.16,1.52,28.1,1003,0.0977,-277.618,2.848,12,11,6,75
NaI76,76,8,8,49.48,30.27,-13.1,28.19,1003,0.0977,-256.68,2.786,12,12,6,76
NaI77,77,8,8,49.44,21.48,-24.94,28.17,1003,0.0977,-232.953,2.808,12,13,6,77
NaI78,78,8,8,49.58,8.69,-31.8,28.08,1003,0.0977,-252.758,2.997,12,14,6,78
NaI79,79,8,8,49.55,-5.95,-32.47,28.14,1006,0.0977,-291.623,2.987,12,15,6,79
NaI80,80,8,9,43.49,-12.35,-29.27,33.5,1002,0.0977,-287.402,2.877,12,16,6,80
NaI81,81,8,9,43.49,-23.86,-20.97,33.49,1001,0.0977,-323.681,2.786,12,17,6,81
NaI82,82,8,9,43.68,-30.75,-8.63,33.44,1002,0.0977,-297.508,2.817,12,18,6,82
NaI83,83,8,9,43.62,-31.41,5.52,33.47,1000,0.0977,-314.152,2.836,12,19,6,83
NaI84,84,8,9,43.47,-25.65,18.77,33.53,1003,0.0977,-341.624,2.839,12,20,6,84
NaI85,85,8,9,43.6,-15.23,28,33.48,1000,0.0977,-322.55,2.815,12,21,6,85
NaI86,86,8,9,43.64,-1.55,31.86,33.45,999,0.0977,-277.126,2.828,12,22,6,86
NaI87,87,8,9,43.66,12.39,29.39,33.42,1003,0.0977,-282.425,2.9,12,23,6,87
NaI88,88,8,9,43.67,23.95,21.11,33.44,1003,0.0977,-345.278,2.792,12,24,6,88
NaI89,89,8,9,43.48,30.61,8.46,33.49,1003,0.0977,-243.467,2.784,12,25,6,89
NaI90,90,8,9,43.59,31.35,-5.69,33.47,1001,0.0977,-294.962,2.851,12,26,6,90
NaI91,91,8,9,43.61,25.83,-18.65,33.45,1003,0.0977,-372.875,2.75,12,27,6,91
NaI92,92,8,9,43.5,15.11,-27.99,33.52,1001,0.0977,-241.679,2.85,12,28,6,92
NaI93,93,8,9,43.63,1.58,-31.86,33.46,1005,0.0977,-319.099,2.966,12,29,6,93
NaI94,94,8,10,37.51,-17.14,-24.49,38.95,1005,0.0977,-352.941,2.846,12,30,6,94
NaI95,95,8,10,37.46,-26.04,-14.48,38.88,1003,0.0977,-330.451,2.888,12,31,6,95
NaI96,96,8,10,37.44,-29.77,-1.88,38.96,1000,0.0977,-367.593,2.849,13,0,6,96
NaI97,97,8,10,37.42,-27.53,11.38,38.93,1000,0.0977,-276.413,2.882,13,1,6,97
NaI98,98,8,10,37.59,-20.2,22.11,38.9,999,0.0977,-265.441,2.857,13,2,6,98
NaI99,99,8,10,37.35,-8.28,28.56,38.97,1001,0.0977,-306.438,2.777,13,3,6,99
NaI100,100,8,10,37.54,4.69,29.52,38.9,999,0.0977,-339.102,2.883,13,4,6,100
NaI101,101,8,10,37.46,17.22,24.35,38.92,1003,0.0977,-273.406,2.798,13,5,6,101
NaI102,102,8,10,37.43,26.03,14.47,38.92,1002,0.0977,-314.217,2.787,13,6,6,102
NaI103,103,8,10,37.42,29.76,1.63,38.96,1001,0.0977,-231.863,2.772,13,7,6,103
NaI104,104,8,10,37.38,27.44,-11.38,38.88,1001,0.0977,-285.828,2.744,13,8,6,104
NaI105,105,8,10,37.44,20.04,-22.08,38.95,1000,0.0977,-228.712,2.866,13,9,6,105
NaI106,106,8,10,37.35,8.4,-28.53,38.96,1005,0.0977,-320.125,3.089,13,10,6,106
NaI107,107,8,10,37.29,-4.86,-29.23,38.91,1002,0.0977,-213.451,2.878,13,11,6,107
NaI108,108,8,11,32.8,-10.69,-26.57,44.44,1001,0.0977,-378.759,2.821,13,12,6,108
NaI109,109,8,11,32.6,-21.09,-18.99,44.38,1003,0.0977,-326.89,2.843,13,13,6,109
NaI110,110,8,11,32.82,-27.44,-8.15,44.39,1005,0.0977,-264.991,2.767,13,14,6,110
NaI111,111,8,11,32.67,-28.08,4.68,44.39,1003,0.0977,-221.113,2.826,13,15,6,111
NaI112,112,8,11,32.68,-23.19,16.48,44.35,998,0.0977,-166.546,2.80784,16,5,8,85
NaI113,113,8,11,32.97,-14.3,24.98,44.37,1000,0.0977,-277.813,2.89,13,17,8,1
NaI114,114,8,11,32.8,-1.93,28.55,44.41,995,0.0977,-230.171,2.8,16,6,8,86
NaI115,115,8,11,32.84,10.76,26.6,44.45,1003,0.0977,-331.994,2.929,13,19,8,3
NaI116,116,8,11,32.66,21.13,19.13,44.46,1002,0.0977,-240.047,2.834,13,20,8,4
NaI117,117,8,11,32.8,27.42,8.15,44.39,1003,0.0977,-254.3,2.908,13,21,8,5
NaI118,118,8,11,32.7,28.1,-4.68,44.38,1003,0.0977,-286.386,2.826,13,22,8,6
NaI119,119,8,11,32.74,23.42,-16.39,44.45,1003,0.0977,-261.179,2.908,13,23,8,7
NaI120,120,8,11,32.71,13.93,-24.93,44.45,1003,0.0977,-401.149,2.927,13,24,8,8
NaI121,121,8,11,32.82,1.77,-28.62,44.46,1003,0.0977,-307.279,2.777,13,25,8,9
NaI122,122,8,12,30.53,-18.74,-25.71,53.95,990,0.0977,-432.087,2.77764,13,26,8,10
NaI123,123,8,12,31.2,-26.07,-19.02,53.28,994,0.0977,-340.813,2.977,13,27,8,11
NaI124,124,8,12,31.42,-26.09,19.26,53.08,986,0.0977,-345.237,2.9,13,28,8,12
NaI125,125,8,12,30.62,-18.91,25.73,53.95,996,0.0977,-255.617,3.46325,13,29,8,13
NaI126,126,8,12,30.43,18.78,25.66,54.12,990,0.0977,-289.325,2.929,13,30,8,14
NaI127,127,8,12,31.24,26.08,19.03,53.22,995,0.0977,-409.319,2.981,13,31,8,15
NaI128,128,8,12,31.39,26.1,-19.09,53,989,0.0977,-288.08,2.842,14,0,8,16
NaI129,129,8,12,30.45,19.08,-25.55,54.25,990,0.0977,-322.213,2.932,14,1,8,17
NaI130,130,8,12,27.26,-4.9,-27.17,53.59,1007,0.0977,-314.702,2.927,14,2,8,18
NaI131,131,8,12,27.94,-12.21,-25.71,53.66,989,0.0977,-322.056,2.864,14,3,8,19
NaI132,132,8,12,26.71,-18.63,-19.2,53.16,0,0.0977,0,0,14,4,8,20
NaI133,133,8,12,28.09,-25.86,-12.19,53.55,988,0.0977,-307.322,2.834,14,5,8,21
NaI134,134,8,12,26.9,-27.1,-3.97,53.99,1007,0.0977,-269.502,2.789,14,6,8,22
NaI135,135,8,12,26.71,-27.06,4.27,54.45,1007,0.0977,-288.836,2.869,14,7,8,23
NaI136,136,8,12,28.13,-25.83,12.1,53.35,988,0.0977,-302.829,2.841,14,8,8,24
NaI137,137,8,12,26.91,-18.81,19.18,52.93,994,0.0977,-349.557,2.924,14,9,8,25
NaI138,138,8,12,27.83,-12.08,25.8,53.96,993,0.0977,-257.05,3.165,14,10,8,26
NaI139,139,8,12,26.99,-4.8,27.15,54.13,1009,0.0977,-303.89,2.779,14,11,8,27
NaI140,140,8,12,27.06,4.46,27.14,53.84,1009,0.0977,-282.407,2.903,14,12,8,28
NaI141,141,8,12,28.21,12.37,25.89,53.49,989,0.0977,-306.061,2.744,14,13,8,29
NaI142,142,8,12,26.86,18.78,19.24,53.1,982,0.0977,-363.628,2.864,14,14,8,30
NaI143,143,8,12,28.19,25.73,12.29,53.2,994,0.0977,-439.352,3.083,14,15,8,31
NaI144,144,8,12,26.87,27.11,3.92,54.07,999,0.0977,-282.745,2.853,14,16,8,32
NaI145,145,8,12,26.7,27.03,-4.1,54.37,999,0.0977,-343.835,2.832,14,17,8,33
NaI146,146,8,12,28.26,25.98,-12.06,53.27,986,0.0977,-317.374,2.844,14,18,8,34
NaI147,147,8,12,26.94,18.88,-19.2,52.97,988,0.0977,-362.818,2.82,14,19,8,35
NaI148,148,8,12,27.96,12.06,-25.8,53.65,986,0.0977,-316.029,2.878,14,20,8,36
NaI149,149,8,12,26.91,4.74,-27.03,54.06,999,0.0977,-367.275,2.819,14,21,8,37
NaI150,150,8,12,22.72,-4.45,-21.88,53.32,999,0.0977,-295.985,2.837,14,22,8,38
NaI151,151,8,12,23.32,-12.28,-19.15,52.78,986,0.0977,-383.397,2.871,14,23,8,39
NaI152,152,8,12,23.25,-19.09,-12.33,52.89,986,0.0977,-342.945,2.809,14,24,8,40
NaI153,153,8,12,22.65,-21.91,-4.5,53.61,999,0.0977,-301.596,2.813,14,25,8,41
NaI154,154,8,12,22.62,-21.9,4.57,53.69,1003,0.0977,-283.412,2.79003,14,26,8,42
NaI155,155,8,12,23.34,-19.18,12.29,52.8,986,0.0977,-373.377,2.906,14,27,8,43
NaI156,156,8,12,23.3,-12.28,19.14,52.81,978,0.0977,-325.407,2.821,14,28,8,44
NaI157,157,8,12,22.69,-4.42,21.89,53.41,1004,0.0977,-386.043,2.841,14,29,8,45
NaI158,158,8,12,22.85,4.55,22.01,53.34,1001,0.0977,-441.773,2.842,14,30,8,46
NaI159,159,8,12,23.33,12.29,19.08,52.61,992,0.0977,-362.637,2.894,14,31,8,47
NaI160,160,8,12,23.3,19.14,12.2,52.68,989,0.0977,-335.273,2.818,15,0,8,48
NaI161,161,8,12,22.67,21.9,4.43,53.49,999,0.0977,-308.173,2.832,15,1,8,49
NaI162,162,8,12,22.62,21.89,-4.52,53.64,999,0.0977,-258.798,2.757,15,2,8,50
NaI163,163,8,12,23.45,19.27,-12.24,52.62,987,0.0977,-311.862,2.823,15,3,8,51
NaI164,164,8,12,23.28,12.25,-19.14,52.81,987,0.0977,-292.571,2.832,15,4,8,52
NaI165,165,8,12,22.71,4.41,-21.95,53.48,994,0.0977,-198.311,2.792,16,8,8,88
NaI166,166,8,12,17.88,-4.52,-16.66,53.53,1002,0.0977,-266.725,2.851,15,6,8,54
NaI167,167,8,12,18.23,-12.27,-12.3,52.74,987,0.0977,-590,5.62,15,7,8,55
NaI168,168,8,12,17.77,-16.59,-4.51,53.64,999,0.0977,-232.635,2.756,15,8,8,56
NaI169,169,8,12,17.84,-16.69,4.38,53.6,1000,0.0977,-295.987,2.749,15,9,8,57
NaI170,170,8,12,18.23,-12.25,12.29,52.69,986,0.0977,-329.037,2.821,15,10,8,58
NaI171,171,8,12,17.85,-4.47,16.64,53.49,999,0.0977,-326.477,2.762,15,11,8,59
NaI172,172,8,12,17.88,4.43,16.65,53.41,998,0.0977,-306.997,2.757,15,12,8,60
NaI173,173,8,12,18.25,12.32,12.26,52.71,982,0.0977,-372.857,2.873,15,13,8,61
NaI174,174,8,12,17.79,16.58,4.45,53.5,1001,0.0977,-270.796,2.701,15,14,8,62
NaI175,175,8,12,17.78,16.56,-4.51,53.52,1002,0.0977,-324.883,2.683,15,15,8,63
NaI176,176,8,12,18.19,12.15,-12.32,52.65,981,0.0977,-388.808,2.806,15,16,8,64
NaI177,177,8,12,17.74,4.3,-16.61,53.64,996,0.0977,-318.025,2.817,15,17,8,65
NaI178,178,8,12,12.69,-4.38,-11.31,53.85,999,0.0977,-329.586,2.886,15,18,8,66
NaI179,179,8,12,12.7,-11.28,-4.46,53.83,999,0.0977,-416.205,2.834,15,19,8,67
NaI180,180,8,12,12.72,-11.31,4.41,53.81,997,0.0977,-325.702,2.826,15,20,8,68
NaI181,181,8,12,12.65,-4.44,11.21,53.73,1001,0.0977,-322.912,2.803,15,21,8,69
NaI182,182,8,12,12.7,4.48,11.29,53.88,1002,0.0977,-305.842,2.79,15,22,8,70
NaI183,183,8,12,12.61,11.29,4.32,53.99,997,0.0977,-359.02,2.736,15,23,8,71
NaI184,184,8,12,12.73,11.28,-4.54,53.82,999,0.0977,-368.006,2.752,15,24,8,72
NaI185,185,8,12,12.78,4.51,-11.3,53.66,999,0.0977,-298.235,2.786,15,25,8,73
NaI186,186,8,13,18.46,-999,-999,-999,400,0.0977,-196.82,2.27,15,30,6,127
NaI187,187,8,13,18.46,-999,-999,-999,400,0.0977,-196.82,2.27,15,31,8,127
